"ruta_relativa";"n_palabras";"legible";"idioma"
"corpus/ES0338453_FTA TDA Ibercaja 4\No_OCR_ES0338453_FTA TDA Ibercaja 4_completo.txt";92250;TRUE;"castellano"
"corpus/ES0338455_FTA TDA Tarragona 1\No_OCR_ES0338455_FTA TDA Tarragona 1_completo.txt";66383;TRUE;"castellano"
"corpus/ES0339759021\No_OCR_ES0339759021_completo.txt";85396;TRUE;"castellano"
"corpus/ES0339759_FTA FTPYME TDA CAM 4\No_OCR_ES0339759_FTA FTPYME TDA CAM 4_completo.txt";85396;TRUE;"castellano"
"corpus/ES0341068_FTH GAT ICO_FTVPO 1\No_OCR_ES0341068_FTH GAT ICO_FTVPO 1_completo.txt";99749;TRUE;"castellano"
"corpus/ES0345671_FTH Hipocat 10\No_OCR_ES0345671_FTH Hipocat 10_completo.txt";74283;TRUE;"castellano"
"corpus/ES0345672_FTA Hipocat 11\No_OCR_ES0345672_FTA Hipocat 11_completo.txt";76885;TRUE;"castellano"
"corpus/ES0345721_FTA Hipocat 9\No_OCR_ES0345721_FTA Hipocat 9_completo.txt";69596;TRUE;"castellano"
"corpus/ES0345784_FTA Hipocat 8\No_OCR_ES0345784_FTA Hipocat 8_completo.txt";81333;TRUE;"castellano"
"corpus/ES0347421_IM BCG RMBS 2_20131121_DEF\No_OCR_ES0347421_IM BCG RMBS 2_20131121_DEF_completo.txt";72712;TRUE;"castellano"
"corpus/ES0347458004\No_OCR_ES0347458004_completo.txt";75375;TRUE;"castellano"
"corpus/ES0347458_FTA IM CAJSTUR MBS 1\No_OCR_ES0347458_FTA IM CAJSTUR MBS 1_completo.txt";75375;TRUE;"castellano"
"corpus/ES0347552004 IM CAJA LABORAL 2\No_OCR_ES0347552004 IM CAJA LABORAL 2_completo.txt";55296;TRUE;"castellano"
"corpus/ES0347552_FTA IM Caja Laboral 2\No_OCR_ES0347552_FTA IM Caja Laboral 2_completo.txt";55296;TRUE;"castellano"
"corpus/ES0347559009\No_OCR_ES0347559009_completo.txt";65677;TRUE;"castellano"
"corpus/ES0347559_FTA IM Cajamar 6\No_OCR_ES0347559_FTA IM Cajamar 6_completo.txt";65677;TRUE;"castellano"
"corpus/ES0347565_FTA IM Caja Laboral 1\No_OCR_ES0347565_FTA IM Caja Laboral 1_completo.txt";61261;TRUE;"castellano"
"corpus/ES0347566_FTA IM Cajamar 5\No_OCR_ES0347566_FTA IM Cajamar 5_completo.txt";62488;TRUE;"castellano"
"corpus/ES0347783005\No_OCR_ES0347783005_completo.txt";71575;TRUE;"castellano"
"corpus/ES0347783_FTA IM Cajamar 3\No_OCR_ES0347783_FTA IM Cajamar 3_completo.txt";71575;TRUE;"castellano"
"corpus/ES0347854_FTA IM Pastor 4\No_OCR_ES0347854_FTA IM Pastor 4_completo.txt";75101;TRUE;"castellano"
"corpus/ES0347861_FTH IM Pastor 2\No_OCR_ES0347861_FTH IM Pastor 2_completo.txt";76581;TRUE;"castellano"
"corpus/ES0347861_FTH IM Pastor 2_ingles\No_OCR_ES0347861_FTH IM Pastor 2_ingles_completo.txt";70383;TRUE;"inglés"
"corpus/ES0347862_FTH IM Pastor 3\No_OCR_ES0347862_FTH IM Pastor 3_completo.txt";86883;TRUE;"castellano"
"corpus/ES0349044000\No_OCR_ES0349044000_completo.txt";63135;TRUE;"castellano"
"corpus/ES0349044_FTA IM Cajamar 4\No_OCR_ES0349044_FTA IM Cajamar 4_completo.txt";63135;TRUE;"castellano"
"corpus/ES0357326000\No_OCR_ES0357326000_completo.txt";69274;TRUE;"castellano"
"corpus/ES0357326_FTA Caixa Penedes PYMES 1 TDA\No_OCR_ES0357326_FTA Caixa Penedes PYMES 1 TDA_completo.txt";69274;TRUE;"castellano"
"corpus/ES0358968_FTA Madrid Residencial I\No_OCR_ES0358968_FTA Madrid Residencial I_completo.txt";60766;TRUE;"castellano"
"corpus/ES0358969_FTH MADRID RESIDENCIAL II\No_OCR_ES0358969_FTH MADRID RESIDENCIAL II_completo.txt";70252;TRUE;"castellano"
"corpus/ES0359091_FTA Madrid RMBS 1\No_OCR_ES0359091_FTA Madrid RMBS 1_completo.txt";77316;TRUE;"castellano"
"corpus/ES0359092_FTA Madrid RMBS 2\No_OCR_ES0359092_FTA Madrid RMBS 2_completo.txt";81104;TRUE;"castellano"
"corpus/ES0359093_FTA Madrid RMBS 3\No_OCR_ES0359093_FTA Madrid RMBS 3_completo.txt";87343;TRUE;"castellano"
"corpus/ES0359094_FTA Madrid RMBS 4\No_OCR_ES0359094_FTA Madrid RMBS 4_completo.txt";90172;TRUE;"castellano"
"corpus/ES0361796_FTA MBS Bancaja-3\No_OCR_ES0361796_FTA MBS Bancaja-3_completo.txt";83034;TRUE;"castellano"
"corpus/ES0361797022 MBS BANCAJA 4FTA\No_OCR_ES0361797022 MBS BANCAJA 4FTA_completo.txt";84731;TRUE;"castellano"
"corpus/ES0361797_FTA MBS Bancaja-4\No_OCR_ES0361797_FTA MBS Bancaja-4_completo.txt";84731;TRUE;"castellano"
"corpus/ES0364376_FTA Caja de Ingenieros TDA 1\No_OCR_ES0364376_FTA Caja de Ingenieros TDA 1_completo.txt";70453;TRUE;"castellano"
"corpus/ES0366367_FTH Rural 8\No_OCR_ES0366367_FTH Rural 8_completo.txt";100164;TRUE;"castellano"
"corpus/ES0370153_FTA Kutxa Hipotecario I\No_OCR_ES0370153_FTA Kutxa Hipotecario I_completo.txt";66919;TRUE;"castellano"
"corpus/ES0370154_FTA AYT Kutxa Hipotecario 2\No_OCR_ES0370154_FTA AYT Kutxa Hipotecario 2_completo.txt";67241;TRUE;"castellano"
"corpus/ES0370460_FTA BBVA 6 FTPYME\No_OCR_ES0370460_FTA BBVA 6 FTPYME_completo.txt";76538;TRUE;"castellano"
"corpus/ES0372260_FTA PYMES Banesto 2\No_OCR_ES0372260_FTA PYMES Banesto 2_completo.txt";64650;TRUE;"castellano"
"corpus/ES0374268003\No_OCR_ES0374268003_completo.txt";69877;TRUE;"castellano"
"corpus/ES0374268_FTA Rural Hipotecario XIV\No_OCR_ES0374268_FTA Rural Hipotecario XIV_completo.txt";69877;TRUE;"castellano"
"corpus/ES0374273_FTA Rural Hipotecario Global 1\No_OCR_ES0374273_FTA Rural Hipotecario Global 1_completo.txt";83274;TRUE;"castellano"
"corpus/ES0374274019\No_OCR_ES0374274019_completo.txt";102870;TRUE;"castellano"
"corpus/ES0374274_FTA Rural Hipotecario 9\No_OCR_ES0374274_FTA Rural Hipotecario 9_completo.txt";102584;TRUE;"castellano"
"corpus/ES0374275_FTA Rural hipotecario 10\No_OCR_ES0374275_FTA Rural hipotecario 10_completo.txt";91098;TRUE;"castellano"
"corpus/ES0377844008\No_OCR_ES0377844008_completo.txt";68867;TRUE;"castellano"
"corpus/ES0377844_FTA TDA 30\No_OCR_ES0377844_FTA TDA 30_completo.txt";68867;TRUE;"castellano"
"corpus/ES0377849_FTA TDA IBERCAJA 7\No_OCR_ES0377849_FTA TDA IBERCAJA 7_completo.txt";71771;TRUE;"castellano"
"corpus/ES0377929_FTA TDA 25\No_OCR_ES0377929_FTA TDA 25_completo.txt";64059;TRUE;"castellano"
"corpus/ES0377930_FTA TDA 28\No_OCR_ES0377930_FTA TDA 28_completo.txt";88274;TRUE;"castellano"
"corpus/ES0377931_FTA TDA 29\No_OCR_ES0377931_FTA TDA 29_completo.txt";76521;TRUE;"castellano"
"corpus/ES0377936_FTH TDA IBERCAJA ICO-FTVPO\No_OCR_ES0377936_FTH TDA IBERCAJA ICO-FTVPO_completo.txt";69513;TRUE;"castellano"
"corpus/ES0377952_FTA TDA 24\No_OCR_ES0377952_FTA TDA 24_completo.txt";60135;TRUE;"castellano"
"corpus/ES0377952_FTA TDA 24_ingles\No_OCR_ES0377952_FTA TDA 24_ingles_completo.txt";86276;TRUE;"inglés"
"corpus/ES0377953_FTH TDA 26- MIXTO\No_OCR_ES0377953_FTH TDA 26- MIXTO_completo.txt";100080;TRUE;"castellano"
"corpus/ES0377954_FTA TDA 27\No_OCR_ES0377954_FTA TDA 27_completo.txt";104739;TRUE;"castellano"
"corpus/ES0377955_FTA TDA CAM 9\No_OCR_ES0377955_FTA TDA CAM 9_completo.txt";80311;TRUE;"castellano"
"corpus/ES0377964 completo\No_OCR_ES0377964 completo_completo.txt";82738;TRUE;"castellano"
"corpus/ES0377964_FTA TDA 19 Mixto\No_OCR_ES0377964_FTA TDA 19 Mixto_completo.txt";82609;TRUE;"castellano"
"corpus/ES0377964_FTA TDA 19 Mixto_ingles\No_OCR_ES0377964_FTA TDA 19 Mixto_ingles_completo.txt";83233;TRUE;"inglés"
"corpus/ES0377965_FTA Cajamar 2 PARTE 1\No_OCR_ES0377965_FTA Cajamar 2 PARTE 1_completo.txt";57559;TRUE;"castellano"
"corpus/ES0377965_FTA Cajamar 2 PARTE 2\No_OCR_ES0377965_FTA Cajamar 2 PARTE 2_completo.txt";41305;TRUE;"castellano"
"corpus/ES0377966_FTA TDA CAM 8\No_OCR_ES0377966_FTA TDA CAM 8_completo.txt";72497;TRUE;"castellano"
"corpus/ES0377967_FTA TDA Ibercaja 5\No_OCR_ES0377967_FTA TDA Ibercaja 5_completo.txt";80879;TRUE;"castellano"
"corpus/ES0377968_FTA TDA Ibercaja 6\No_OCR_ES0377968_FTA TDA Ibercaja 6_completo.txt";76552;TRUE;"castellano"
"corpus/ES0377983_FTA TDA-22 MIXTO\No_OCR_ES0377983_FTA TDA-22 MIXTO_completo.txt";148758;TRUE;"castellano"
