Flujos de caja por Bono con TACP del 6%
Constitución 12-feb-07 Bonos 1.200.000.000 Bonos 1er periodo Resto periodos
Desembolso 16-feb-07 Tramo A 1.117.800.000 Tramo A 4,033% 3,942%
1ª Fecha Pago 16-jul-07 Tramo B 58.200.000 Tramo B 4,223% 4,132%
Tramo C 24.000.000 Tramo C 4,523% 4,432%,,,,,
,Bonos del Tramo A,,Bonos del Tramo B,,Bonos del Tramo C
Fecha
Pago,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses,,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses,,Saldo Vivo Principal
al fin1a0l0 p.0e0ri0o,d0o0 amortizado Intereses
56.473,99 1.507,91 598,95
54.993,95 1.480,04 589,86
53.540,96 1.452,99 580,71
52.115,03 1.425,93 565,37
50.716,13 1.398,90 538,35
49.343,62 1.372,52 529,72
47.997,39 1.346,23 521,05
46.677,30 1.320,08 506,83
45.383,05 1.294,25 487,53
44.114,17 1.268,88 474,02
42.871,13 1.243,04 465,83
41.653,34 1.217,79 452,70
40.460,49 1.192,85 430,28
39.291,74 1.168,75 422,60
38.146,75 1.145,00 414,90
37.024,24 1.122,50 402,81
35.924,32 1.099,93 382,46
34.846,18 1.078,13 375,22
33.789,35 1.056,83 367,96
32.753,55 1.035,81 356,80
31.738,33 1.015,22 338,34
30.743,30 995,04 331,50
29.768,77 974,52 324,64
28.814,23 954,55 314,35
27.880,36 933,87 300,96
26.965,61 914,75 291,20
26.069,61 896,00 284,75
25.192,41 877,20 275,28
24.334,03 858,38 260,24
23.496,81 837,22 254,16
22.682,02 814,79 248,12
21.887,30 794,72 239,51
21.112,38 774,92 226,10
20.356,20 756,19 220,51
19.617,76 738,44 214,95
18.895,61 722,15 207,16
18.189,36 706,25 195,19
17.498,80 690,56 189,98
16.823,58 675,22 184,78
16.163,02 660,57 177,65
15.516,73 646,28 168,82
0,00 15.516,73 162,07,,100.000,00 0,00 1.884,58
100.000,00 0,00 1.120,31
100.000,00 0,00 1.132,62
100.000,00 0,00 1.120,31
100.000,00 0,00 1.120,31
100.000,00 0,00 1.132,62
100.000,00 0,00 1.132,62
100.000,00 0,00 1.108,00
100.000,00 0,00 1.120,31
100.000,00 0,00 1.132,62
100.000,00 0,00 1.132,62
100.000,00 0,00 1.108,00
100.000,00 0,00 1.120,31
100.000,00 0,00 1.132,62
100.000,00 0,00 1.132,62
100.000,00 0,00 1.108,00
100.000,00 0,00 1.120,31
100.000,00 0,00 1.132,62
100.000,00 0,00 1.132,62
100.000,00 0,00 1.120,31
99.503,95 496,05 1.120,31
97.234,02 2.269,93 1.127,00
95.004,93 2.229,09 1.101,29
92.815,64 2.189,29 1.052,66
90.665,19 2.150,46 1.039,82
88.553,59 2.111,59 1.026,89
86.479,32 2.074,28 1.002,98
84.442,26 2.037,05 958,19
82.442,37 1.999,90 946,02
80.478,30 1.964,07 933,76
78.549,86 1.928,44 911,52
76.656,30 1.893,56 870,33
74.798,27 1.858,03 858,79
72.975,39 1.822,87 847,18
71.186,04 1.789,35 826,54
